CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,NumProducts,SupportCalls,ContractType,PaymentMethod,InternetService,Churn
CUST00051,40,14,69.93,1012.53,1,7,One Year,Credit Card,No,1
CUST00052,65,26,84.37,2105.24,1,3,Two Year,Mailed Check,Fiber Optic,0
CUST00053,71,34,115.0,3691.95,4,2,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00054,63,36,48.52,1810.76,3,6,Two Year,Electronic Check,Fiber Optic,0
CUST00055,67,4,89.28,387.07,1,4,Month-to-Month,Credit Card,DSL,1
CUST00056,33,39,22.5,842.4,4,2,Two Year,Electronic Check,No,0
CUST00057,42,11,46.24,490.48,4,6,Two Year,Credit Card,Fiber Optic,0
CUST00058,32,53,66.37,3766.94,4,3,One Year,Electronic Check,DSL,0
CUST00059,38,49,23.1,1220.92,1,5,Two Year,Electronic Check,DSL,0
CUST00060,59,66,81.77,5843.5,5,3,Two Year,Credit Card,Fiber Optic,0
CUST00061,56,53,87.83,4462.47,1,8,Month-to-Month,Credit Card,No,0
CUST00062,18,27,94.67,2362.07,3,8,Month-to-Month,Electronic Check,No,1
CUST00063,61,69,71.66,4885.03,3,4,Month-to-Month,Electronic Check,DSL,1
CUST00064,28,30,80.39,2313.32,2,7,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00065,28,24,59.61,1540.39,2,1,One Year,Mailed Check,DSL,0
CUST00066,48,65,24.13,1422.82,1,9,Month-to-Month,Mailed Check,DSL,1
CUST00067,31,27,30.0,831.56,3,2,One Year,Electronic Check,No,0
CUST00068,72,6,85.5,554.67,4,8,Month-to-Month,Credit Card,DSL,0
CUST00069,26,34,119.56,4452.41,2,8,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00070,26,57,21.58,1267.01,3,1,Month-to-Month,Electronic Check,DSL,0
CUST00071,61,14,75.76,1156.06,5,0,Two Year,Electronic Check,DSL,0
CUST00072,34,33,95.1,2871.98,2,7,Month-to-Month,Electronic Check,DSL,1
CUST00073,58,10,102.68,997.88,2,8,Month-to-Month,Mailed Check,DSL,1
CUST00074,56,49,74.52,3292.72,1,7,Month-to-Month,Mailed Check,Fiber Optic,1
CUST00075,28,34,81.99,3055.99,3,0,Two Year,Bank Transfer,No,1
CUST00076,51,24,89.67,2325.48,2,6,Month-to-Month,Mailed Check,DSL,1
CUST00077,48,17,105.9,1630.32,5,3,One Year,Electronic Check,No,1
CUST00078,23,41,32.23,1194.04,2,9,Month-to-Month,Credit Card,Fiber Optic,0
CUST00079,61,48,112.62,5261.85,4,8,Month-to-Month,Mailed Check,DSL,1
CUST00080,66,67,22.6,1441.19,1,7,One Year,Electronic Check,DSL,0
CUST00081,71,32,103.62,3545.91,2,4,One Year,Electronic Check,DSL,1
CUST00082,23,12,27.67,309.54,1,3,One Year,Bank Transfer,No,0
CUST00083,28,60,39.46,2505.41,3,8,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00084,65,45,20.39,927.52,1,1,Two Year,Bank Transfer,DSL,0
CUST00085,35,50,64.53,3147.17,1,1,One Year,Bank Transfer,DSL,0
CUST00086,53,7,53.44,347.55,3,0,Two Year,Electronic Check,DSL,0
CUST00087,37,23,36.6,925.57,3,5,Month-to-Month,Credit Card,Fiber Optic,1
CUST00088,30,55,65.11,3665.5,2,0,Month-to-Month,Electronic Check,DSL,0
CUST00089,53,60,60.24,3570.41,3,5,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00090,29,31,96.77,2922.43,3,1,One Year,Mailed Check,Fiber Optic,0
CUST00091,25,58,109.31,6854.63,4,8,One Year,Electronic Check,Fiber Optic,0
CUST00092,48,60,85.26,5444.01,3,4,Month-to-Month,Mailed Check,DSL,0
CUST00093,29,28,32.44,964.88,5,0,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00094,28,64,49.54,3244.18,2,6,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00095,62,21,111.33,2519.37,1,3,Month-to-Month,Bank Transfer,No,0
CUST00096,48,18,28.87,498.86,3,2,Two Year,Bank Transfer,Fiber Optic,0
CUST00097,48,49,60.69,3094.74,1,6,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00098,26,46,114.25,5155.09,4,9,Month-to-Month,Electronic Check,DSL,1
CUST00099,27,10,115.07,1173.68,2,9,Month-to-Month,Credit Card,Fiber Optic,1
CUST00100,40,60,61.12,4032.59,2,4,Month-to-Month,Mailed Check,Fiber Optic,1
CUST00101,40,15,86.74,1427.18,3,8,Two Year,Mailed Check,Fiber Optic,0
CUST00102,43,58,65.67,3818.74,1,2,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00103,25,1,95.35,96.75,2,8,Two Year,Electronic Check,No,1
CUST00104,69,57,23.16,1424.91,5,9,One Year,Mailed Check,No,0
CUST00105,38,56,34.42,2114.47,4,5,One Year,Bank Transfer,DSL,0
CUST00106,64,56,81.42,4813.58,3,5,Month-to-Month,Credit Card,DSL,0
CUST00107,40,48,43.26,1895.69,3,5,One Year,Credit Card,No,0
CUST00108,44,34,86.61,2840.13,3,0,One Year,Mailed Check,Fiber Optic,0
CUST00109,24,51,55.12,3034.2,5,8,Month-to-Month,Mailed Check,No,0
CUST00110,56,20,108.66,2289.93,5,7,Two Year,Bank Transfer,Fiber Optic,0
CUST00111,21,56,101.93,5984.38,3,8,Month-to-Month,Electronic Check,No,0
CUST00112,60,40,69.28,2864.43,5,1,Month-to-Month,Mailed Check,DSL,0
CUST00113,68,33,97.29,3156.14,1,8,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00114,38,36,47.11,1663.27,2,3,One Year,Electronic Check,Fiber Optic,0
CUST00115,68,41,69.43,3022.34,2,8,Month-to-Month,Electronic Check,DSL,0
CUST00116,57,3,39.75,114.33,4,9,Month-to-Month,Mailed Check,DSL,0
CUST00117,18,10,106.09,1100.1,4,8,Month-to-Month,Bank Transfer,DSL,1
CUST00118,29,18,102.31,1924.84,3,9,Month-to-Month,Electronic Check,DSL,1
CUST00119,54,9,110.21,1060.29,2,1,Month-to-Month,Electronic Check,No,1
CUST00120,57,32,107.75,3323.72,3,3,Two Year,Electronic Check,No,0
CUST00121,23,48,115.96,5835.34,2,2,Month-to-Month,Credit Card,No,1
CUST00122,57,47,42.83,1854.74,3,5,Two Year,Credit Card,No,0
CUST00123,64,34,113.18,3569.64,2,9,One Year,Credit Card,No,1
CUST00124,23,61,77.12,4626.62,5,6,One Year,Credit Card,No,0
CUST00125,68,41,62.25,2325.2,4,5,Two Year,Electronic Check,DSL,0
CUST00126,48,6,76.04,497.07,1,8,Month-to-Month,Electronic Check,DSL,1
CUST00127,53,55,54.26,3224.19,5,1,One Year,Mailed Check,No,0
CUST00128,20,41,48.86,1822.36,4,6,Month-to-Month,Mailed Check,Fiber Optic,1
CUST00129,52,46,44.13,2167.4,2,5,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00130,43,41,28.24,1160.01,3,2,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00131,39,40,69.66,2898.8,1,6,One Year,Credit Card,DSL,0
CUST00132,62,7,108.78,820.36,1,8,Two Year,Electronic Check,DSL,0
CUST00133,32,40,83.02,3371.73,3,8,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00134,21,57,72.1,3794.22,4,8,One Year,Credit Card,Fiber Optic,0
CUST00135,46,22,62.86,1245.33,2,8,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00136,60,43,66.44,2855.17,2,4,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00137,25,3,40.93,133.81,5,0,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00138,74,25,102.29,2594.48,5,9,One Year,Credit Card,Fiber Optic,0
CUST00139,56,32,39.84,1242.43,3,4,Month-to-Month,Credit Card,Fiber Optic,0
CUST00140,71,70,91.66,5814.4,1,6,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00141,44,16,96.0,1663.46,4,0,Month-to-Month,Mailed Check,No,0
CUST00142,25,20,77.49,1496.17,4,8,One Year,Credit Card,Fiber Optic,0
CUST00143,28,30,106.29,3319.38,5,8,Two Year,Bank Transfer,No,0
CUST00144,46,71,49.11,3621.9,5,9,Month-to-Month,Bank Transfer,No,0
CUST00145,51,61,108.16,6273.1,4,1,One Year,Mailed Check,No,0
CUST00146,59,3,92.94,254.5,1,8,One Year,Electronic Check,Fiber Optic,1
CUST00147,63,17,99.87,1658.82,2,6,Month-to-Month,Mailed Check,Fiber Optic,1
CUST00148,61,59,86.46,4914.46,4,1,Month-to-Month,Credit Card,Fiber Optic,0
CUST00149,51,5,104.63,544.13,4,5,Two Year,Electronic Check,Fiber Optic,1
CUST00150,19,61,119.31,7743.37,3,4,Month-to-Month,Electronic Check,DSL,0
CUST00151,48,20,62.02,1171.47,3,6,Month-to-Month,Electronic Check,DSL,1
CUST00152,64,66,101.39,6729.63,4,0,Two Year,Mailed Check,DSL,0
CUST00153,66,21,94.46,1801.37,3,5,Two Year,Electronic Check,Fiber Optic,1
CUST00154,65,31,65.29,1908.23,1,6,One Year,Bank Transfer,DSL,0
CUST00155,18,47,112.69,5573.95,5,7,Two Year,Electronic Check,Fiber Optic,0
CUST00156,42,9,59.44,566.38,2,7,Month-to-Month,Electronic Check,DSL,1
CUST00157,53,40,76.55,3231.13,2,6,One Year,Electronic Check,DSL,0
CUST00158,32,36,30.59,1022.62,1,7,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00159,41,56,42.58,2408.68,3,0,Two Year,Credit Card,No,0
CUST00160,23,71,104.07,7274.72,5,7,Month-to-Month,Credit Card,Fiber Optic,0
CUST00161,29,48,59.66,3144.92,1,3,Month-to-Month,Bank Transfer,No,1
CUST00162,18,30,59.41,1837.17,2,5,Month-to-Month,Credit Card,DSL,1
CUST00163,73,29,44.6,1405.92,1,5,One Year,Electronic Check,Fiber Optic,1
CUST00164,67,30,69.16,1927.66,1,9,Month-to-Month,Credit Card,DSL,0
CUST00165,41,58,100.58,5776.42,4,3,One Year,Mailed Check,DSL,0
CUST00166,18,23,109.52,2655.71,2,3,Month-to-Month,Bank Transfer,DSL,1
CUST00167,37,12,27.01,315.57,4,7,Month-to-Month,Bank Transfer,DSL,1
CUST00168,42,24,77.48,1908.85,3,6,One Year,Mailed Check,Fiber Optic,0
CUST00169,27,2,66.73,133.77,4,3,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00170,55,8,81.43,715.52,1,3,One Year,Electronic Check,DSL,1
CUST00171,74,7,64.73,423.54,2,8,Two Year,Mailed Check,No,1
CUST00172,66,55,59.86,3579.23,3,8,One Year,Mailed Check,Fiber Optic,0
CUST00173,66,52,67.19,3425.0,1,1,Month-to-Month,Credit Card,DSL,0
CUST00174,65,50,78.2,3884.97,3,3,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00175,21,33,70.1,2326.48,3,7,Two Year,Bank Transfer,DSL,0
CUST00176,49,51,67.21,3267.07,3,1,One Year,Mailed Check,No,0
CUST00177,50,12,101.78,1334.66,3,1,Two Year,Electronic Check,Fiber Optic,1
CUST00178,23,64,94.56,6550.22,4,1,Month-to-Month,Electronic Check,DSL,1
CUST00179,26,36,54.14,2133.3,4,5,One Year,Mailed Check,DSL,0
CUST00180,50,67,100.06,7370.12,1,4,Month-to-Month,Mailed Check,DSL,0
CUST00181,58,11,105.37,1198.38,4,3,One Year,Electronic Check,Fiber Optic,0
CUST00182,29,36,35.35,1260.28,5,1,Two Year,Electronic Check,Fiber Optic,0
CUST00183,45,50,78.27,4187.93,5,6,Two Year,Electronic Check,No,0
CUST00184,22,36,48.53,1580.73,2,8,Month-to-Month,Credit Card,DSL,1
CUST00185,24,32,93.92,3206.35,4,2,Two Year,Credit Card,DSL,0
CUST00186,51,12,43.88,526.26,5,6,Month-to-Month,Electronic Check,DSL,1
CUST00187,49,28,87.14,2524.46,2,7,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00188,60,17,45.51,754.22,5,5,One Year,Credit Card,Fiber Optic,0
CUST00189,69,22,71.11,1523.41,4,5,Month-to-Month,Electronic Check,No,1
CUST00190,28,49,114.86,5101.23,4,1,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00191,37,45,58.13,2576.01,4,9,One Year,Electronic Check,DSL,0
CUST00192,66,44,107.57,4646.49,4,9,One Year,Electronic Check,No,0
CUST00193,20,26,118.69,2916.19,5,7,One Year,Credit Card,No,0
CUST00194,65,69,107.49,7041.68,5,9,Month-to-Month,Credit Card,DSL,0
CUST00195,71,7,36.59,260.42,3,6,One Year,Mailed Check,No,1
CUST00196,23,25,101.97,2456.24,3,6,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00197,26,9,23.21,222.73,4,8,Month-to-Month,Credit Card,No,0
CUST00198,57,25,59.33,1367.97,5,0,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00199,45,69,107.07,7502.79,2,2,One Year,Electronic Check,DSL,0
CUST00200,74,27,88.88,2236.48,2,2,Month-to-Month,Electronic Check,No,0
CUST00201,49,65,73.27,4789.71,4,6,Month-to-Month,Credit Card,Fiber Optic,0
CUST00202,55,36,58.79,2138.55,5,2,Two Year,Bank Transfer,No,0
CUST00203,31,50,101.23,5205.53,5,3,Two Year,Bank Transfer,DSL,0
CUST00204,36,33,90.96,2957.98,1,4,One Year,Bank Transfer,Fiber Optic,1
CUST00205,28,19,66.84,1272.38,5,7,One Year,Electronic Check,Fiber Optic,0
CUST00206,26,55,109.25,5625.25,4,5,Two Year,Mailed Check,Fiber Optic,0
CUST00207,24,69,42.99,2944.7,1,0,One Year,Credit Card,Fiber Optic,0
CUST00208,68,19,37.04,685.87,1,6,Month-to-Month,Credit Card,Fiber Optic,1
CUST00209,21,56,84.28,4876.52,2,4,One Year,Mailed Check,Fiber Optic,0
CUST00210,47,19,117.2,2197.76,5,1,Two Year,Electronic Check,Fiber Optic,0
CUST00211,46,51,44.73,2408.44,4,6,One Year,Credit Card,DSL,0
CUST00212,21,57,44.97,2525.18,3,2,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00213,65,32,33.95,1028.98,4,4,Two Year,Electronic Check,Fiber Optic,0
CUST00214,46,53,106.06,5366.57,3,9,One Year,Electronic Check,No,0
CUST00215,25,20,42.64,775.24,5,2,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00216,25,6,70.32,425.28,1,8,Two Year,Bank Transfer,Fiber Optic,1
CUST00217,57,7,119.09,888.78,2,4,One Year,Bank Transfer,DSL,0
CUST00218,53,32,21.21,715.39,2,9,Two Year,Electronic Check,DSL,1
CUST00219,41,65,75.65,4855.98,5,8,Two Year,Electronic Check,DSL,0
CUST00220,41,10,71.23,669.0,3,8,Month-to-Month,Mailed Check,Fiber Optic,1
CUST00221,20,33,100.74,3566.26,4,2,One Year,Mailed Check,No,1
CUST00222,19,50,55.53,2530.3,5,7,Month-to-Month,Electronic Check,No,0
CUST00223,48,15,61.03,897.06,1,3,Two Year,Electronic Check,Fiber Optic,1
CUST00224,38,52,36.79,2049.74,5,9,Two Year,Credit Card,Fiber Optic,0
CUST00225,32,22,94.08,2025.57,1,9,Two Year,Credit Card,Fiber Optic,0
CUST00226,39,58,98.47,5274.83,4,6,One Year,Mailed Check,Fiber Optic,0
CUST00227,52,42,33.67,1347.8,4,9,One Year,Bank Transfer,Fiber Optic,0
CUST00228,34,39,59.35,2360.79,5,5,Month-to-Month,Credit Card,Fiber Optic,0
CUST00229,37,13,109.29,1321.9,1,0,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00230,34,33,20.27,689.66,5,8,Month-to-Month,Credit Card,No,0
CUST00231,55,61,49.88,3004.8,4,5,Two Year,Mailed Check,Fiber Optic,0
CUST00232,21,2,75.5,146.01,1,0,One Year,Mailed Check,DSL,1
CUST00233,70,54,53.41,2734.67,3,0,One Year,Mailed Check,Fiber Optic,0
CUST00234,49,35,47.2,1759.0,5,7,Month-to-Month,Electronic Check,No,0
CUST00235,31,52,66.0,3361.27,3,9,One Year,Bank Transfer,DSL,0
CUST00236,61,48,38.15,1918.66,2,6,Month-to-Month,Bank Transfer,No,1
CUST00237,71,31,72.96,2234.86,2,4,Two Year,Electronic Check,No,0
CUST00238,21,22,90.67,1831.91,3,3,Two Year,Mailed Check,Fiber Optic,0
CUST00239,29,45,77.53,3447.31,5,4,Month-to-Month,Credit Card,DSL,0
CUST00240,26,10,29.31,293.56,4,3,Two Year,Credit Card,DSL,0
CUST00241,22,42,104.44,4349.53,4,2,Month-to-Month,Bank Transfer,DSL,0
CUST00242,60,7,37.5,279.09,4,1,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00243,28,47,96.48,4907.23,4,5,One Year,Mailed Check,No,0
CUST00244,39,45,56.06,2667.23,3,2,One Year,Electronic Check,No,0
CUST00245,64,6,98.28,599.42,4,1,Month-to-Month,Credit Card,DSL,1
CUST00246,52,54,40.63,2212.06,2,2,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00247,56,30,38.67,1193.54,3,7,Month-to-Month,Credit Card,Fiber Optic,0
CUST00248,23,56,69.7,3737.71,2,5,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00249,73,3,23.29,74.24,5,4,Month-to-Month,Credit Card,Fiber Optic,0
CUST00250,22,13,42.53,592.35,4,5,Month-to-Month,Credit Card,No,1
CUST00251,58,36,92.4,3171.58,3,5,Two Year,Bank Transfer,Fiber Optic,0
CUST00252,54,14,103.74,1569.34,3,4,Month-to-Month,Credit Card,DSL,0
CUST00253,41,24,28.08,720.89,3,8,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00254,65,47,108.21,5008.96,4,7,Month-to-Month,Electronic Check,DSL,1
CUST00255,68,11,99.75,1187.03,2,1,Month-to-Month,Electronic Check,No,1
CUST00256,22,49,106.97,4843.56,5,8,One Year,Electronic Check,No,0
CUST00257,72,8,89.84,650.89,2,1,Month-to-Month,Electronic Check,DSL,1
CUST00258,31,13,87.42,1101.82,1,0,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00259,63,42,72.51,3085.25,4,4,Two Year,Electronic Check,No,0
CUST00260,64,57,85.28,4716.46,4,3,One Year,Electronic Check,Fiber Optic,0
CUST00261,49,13,111.91,1583.47,2,7,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00262,67,22,30.05,628.71,4,6,Month-to-Month,Bank Transfer,No,0
CUST00263,65,66,51.58,3255.09,4,0,Two Year,Credit Card,DSL,0
CUST00264,47,71,27.25,1986.59,4,4,One Year,Mailed Check,Fiber Optic,0
CUST00265,28,42,114.48,4331.08,5,7,Two Year,Bank Transfer,DSL,0
CUST00266,42,32,64.53,2158.82,5,7,Month-to-Month,Credit Card,DSL,0
CUST00267,69,25,87.53,2134.73,3,5,One Year,Bank Transfer,No,1
CUST00268,29,44,104.11,5018.63,2,6,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00269,74,42,119.1,5193.7,1,5,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00270,28,21,36.18,691.7,3,2,One Year,Credit Card,DSL,0
CUST00271,55,2,99.95,183.62,4,5,One Year,Electronic Check,No,1
CUST00272,54,11,108.74,1097.64,4,6,Month-to-Month,Bank Transfer,DSL,1
CUST00273,29,69,24.89,1872.69,1,0,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00274,44,30,95.41,2967.63,4,6,One Year,Electronic Check,DSL,1
CUST00275,26,35,55.47,1913.43,4,2,Month-to-Month,Bank Transfer,Fiber Optic,0
CUST00276,38,34,84.86,2712.39,4,0,Month-to-Month,Credit Card,Fiber Optic,0
CUST00277,72,56,71.4,4297.48,3,7,Month-to-Month,Credit Card,Fiber Optic,0
CUST00278,21,5,45.97,216.15,1,3,Month-to-Month,Credit Card,Fiber Optic,1
CUST00279,67,6,33.52,209.45,3,4,Two Year,Bank Transfer,Fiber Optic,1
CUST00280,56,20,31.69,667.28,4,6,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00281,60,35,30.33,1018.03,3,5,Month-to-Month,Credit Card,Fiber Optic,1
CUST00282,34,48,83.78,4025.35,3,6,One Year,Electronic Check,No,0
CUST00283,72,35,55.14,1823.02,3,9,Month-to-Month,Electronic Check,DSL,1
CUST00284,32,32,41.66,1300.94,3,6,One Year,Mailed Check,DSL,0
CUST00285,46,67,89.19,6531.52,2,0,Month-to-Month,Bank Transfer,DSL,0
CUST00286,20,12,88.68,1105.33,4,2,Two Year,Bank Transfer,DSL,0
CUST00287,68,41,73.92,3240.68,2,4,One Year,Credit Card,Fiber Optic,0
CUST00288,58,39,113.5,4462.28,3,4,One Year,Electronic Check,DSL,0
CUST00289,27,34,58.54,1886.52,3,3,Month-to-Month,Credit Card,DSL,1
CUST00290,55,58,103.59,6263.8,4,1,Two Year,Bank Transfer,DSL,0
CUST00291,28,19,27.51,522.82,5,1,One Year,Credit Card,Fiber Optic,0
CUST00292,43,68,93.98,5977.81,4,1,Month-to-Month,Mailed Check,Fiber Optic,0
CUST00293,47,24,118.84,2802.32,1,9,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00294,71,39,104.66,4191.81,4,3,Month-to-Month,Bank Transfer,No,0
CUST00295,36,37,77.97,3020.53,2,9,Month-to-Month,Mailed Check,DSL,1
CUST00296,18,61,82.68,4784.27,1,3,Month-to-Month,Electronic Check,Fiber Optic,0
CUST00297,42,32,55.33,1903.67,1,3,Two Year,Electronic Check,DSL,0
CUST00298,70,21,87.95,1802.43,5,4,Two Year,Electronic Check,No,1
CUST00299,63,2,97.04,185.2,3,9,Month-to-Month,Mailed Check,DSL,1
CUST00300,21,26,119.82,2925.43,2,5,Two Year,Bank Transfer,No,0
CUST00301,21,59,69.25,4334.07,1,0,One Year,Bank Transfer,Fiber Optic,0
CUST00302,61,1,26.13,25.37,4,2,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00303,59,64,79.59,5076.58,4,9,Two Year,Electronic Check,Fiber Optic,0
CUST00304,49,39,31.9,1175.22,2,1,One Year,Electronic Check,Fiber Optic,0
CUST00305,23,10,44.48,461.32,1,8,One Year,Bank Transfer,DSL,0
CUST00306,33,22,52.88,1228.7,2,9,Month-to-Month,Bank Transfer,No,0
CUST00307,66,40,93.1,3604.52,4,2,Month-to-Month,Bank Transfer,No,0
CUST00308,25,23,38.38,961.34,1,5,Two Year,Bank Transfer,DSL,0
CUST00309,29,8,36.58,265.13,2,5,Month-to-Month,Credit Card,DSL,1
CUST00310,43,48,24.5,1089.51,1,7,Month-to-Month,Credit Card,DSL,0
CUST00311,59,48,107.32,5243.03,3,7,Month-to-Month,Bank Transfer,Fiber Optic,1
CUST00312,65,9,89.35,836.55,1,0,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00313,51,20,23.99,455.96,1,3,Month-to-Month,Electronic Check,Fiber Optic,1
CUST00314,46,18,22.83,415.37,1,9,Two Year,Bank Transfer,DSL,0
CUST00315,39,47,75.87,3436.25,4,3,Month-to-Month,Mailed Check,No,0
CUST00316,20,52,48.25,2536.32,3,2,Two Year,Electronic Check,DSL,0
CUST00317,33,52,79.67,4275.0,5,6,One Year,Electronic Check,DSL,0
CUST00318,30,67,63.46,4653.91,2,1,Month-to-Month,Credit Card,No,1
